Line ,Date of Gap,Check,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Act,Unnamed: 8
,, (Target Vs Actual),,,Control point,,,
,,MP/CP,Target,Actual,Self Control,Other Dept Control,Reason for Gap,"Reason Category
(Key word from Reason for Gap)"
Line-1A,2025-02-10,Loss time,0,300,,Cutting,"Loading delay from cutting section 
Body section 2 operation idle from 3 to 5.30
",G - No feeding from material 
Line-1A,2025-02-11,Loss time,0,875,,Cutting,"Loading delay from cutting section 
Body section 5 operation idle from 2.35 to 4.45
Lining section 4 operations from 4 to 4.45",G - No feeding from material 
Line-1A,2025-02-12,Loss time,0,1710,,Cutting,"Loading delay from cutting section 
Body section 18 operation idle from 11 to 12.10
Lining section 15 operations from 11.30 to 12",G - No feeding from material 
Line-1A,2025-02-13,Loss time,0,696,,Cutting,"Loading delay from cutting section 
Body section 6 operation idle from 10 to 11
Lining section 9 operations from 10 to 11.10",G - No feeding from material 
Line-1A,2025-02-19,Loss time,0,400,,Maintenance,"Sleeve attach machine breakdown from 12.45 to 1.20
Under collar zigzag machine breakdown from 12.30 to 1.30",J - Machine breakdown
Line-1B,2025-02-18,Loss time,0,1670,,Maintenance,"Batch setting(New style)
button hole m/c-165 min,4 operations are idle
Centre back side panel--750min,5 operations are idle
lining side seam-260 min,4 operations are not balanced",L - Style change over loss ( Batch setting)
Line-1B,2025-02-22,Loss time,0,2700,,Cutting,"No loading
From 12.30 to 4.30  Dart cutting-Side panel 5 operations are idle
From 12.30-5.30 canvas loading is not there,5 operations are idle",G - No feeding from material 
Line-1B,2025-02-24,Loss time,0,210,,Maintenance,"Machine breakdown-
Under Collar zigzag m/c breakdown for 30 min
7 operations are idle",J - Machine breakdown
Line-1B,2025-02-25,Loss time,0,130,,Cutting,"Head roll is not there from 9-11:10, So, head roll ready operation is idle",G - No feeding from material 
Line-1B,2025-02-28,Loss time,0,45,,Maintenance,Body welting machine problem for 45 min. ,J - Machine breakdown
Line-2A,2025-02-20,Loss time,0,120,,"Yes
Maintenance","
In sleeve section
indexor machine problem for loose thread and button hole Measurement issuses then parts will be change
11.30 to 1.30=120 mins
 alternate machine arranged  . we can't able to do production level 150 pcs Because Line L2A & L2B combination . Repeated Indexor machine problem.",J - Machine breakdown
Line-2A,2025-02-21,Loss time,0,480,,"Yes
Maintenance","In sleeve section
indexor machine problem for loose thread and button hole Measurement issuses then parts will be change
9.30 to 5.30 alternate machine arranged  . we can't able to do production level 150 pcs Because Line L2A & L2B combination . Repeated Indexor machine problem.",J - Machine breakdown
Line-2A,2025-02-24,Loss time,0,120,,"Yes
Maintenance","In Lining section 
welting - 3.30-5.30
Lining 3 pocket welting machine  Knife cut 120 mins production is drop balanced with another machine 60 piece drop",J - Machine breakdown
Line-2A,2025-02-25,Loss time,0,180,,"Yes
Maintenance","In Lining section
welting - 10.30- 12.30
Lining 3 pocket welting machine  Knife cut 180 mins production is drop balanced with another machine 100 piece drop",J - Machine breakdown
Line-2B,2025-02-06,Loss time,0,1350,,"Yes
Maintenance","In sleeve assembly section button hole machine problem for skip stitch(netted fabric ) then arrange one more machine but couldn't able to cut thread (manual  cut for buttonhole thread) 10.22 to 11.30=60mins
12.30 to 4.00=210mins
In body assembly section shoulder seam machine problem for hook set block
(05.02.2025) evening problem
9.00 to 11.00=120mins
In sleeve section inseam machine problem (motor burn it)
3.00 to4.30=60mins",J - Machine breakdown
Line-2B,2025-02-12,Loss time,0,345,,"Yes
Cutting","In Body section loading issuses
Dart cutting-4.45 to 5.30=45mins
Flap seam-5.20 to 5.30=10mins
Breast pkt ready iron-4.30 to 5.30=60mins",G - No feeding from material 
Line-2B,2025-02-13,Loss time,0,3770,,"Yes
Cutting","In body section loading issuse
Dart cutting-12.50 to 2.30=130mins
Center back seam-1.45 to 3.00=75mins
Dart seam-2.50 to 3.30=40mins
Dart iron-3.40 to 4.30=40mins
Side panel attach-4.00 to 4.45=45mins
Armhole tape attach-3.14 to 3.30=16mins
Breast pkt ready -1.00 to 3.20=140mins
Flap seam-2.00 to 4.20=140mins
Flap pressing-2.30 to 4.30=120mins
Dummy stitch-2.30 to 4.30=120mins
In lining section loading issuse
Front facing seam-3.00 to 4.30=90mins
Facing iron-3.10 to 4.40=100mins
In sleeve section loading issuse
Indexor-4.30 to 5.30=60mins",G - No feeding from material 
Line-2B,2025-02-14,Loss time,0,131670,,"Yes
Cutting","In body section loading issuse
Dart cutting-10.42 to 2.30=195mins
Center back seam-11.02 to 2.30=182mins
Dart seam-11.30to 2.30=180mins
Dart iron-11.30 to 2.30=180mins
Side panel attach-12.30to 2.45=135mins
Armhole tape attach-12.30 to 2.55=145mins
Side panel iron-2.00 to 3.00=60mins
Breast pkt ready -11.00to 2.30=210mins
Breast pkt attach-1.30 to 3.05=155mins
Breast pkt open seam iron-1.30 to 3.05=155mins
Breast pkt bag close-2.00 to 3.10=70mins
Flap seam-12.20 to 3.20=180mins
Flap pressing-2.30 to 4.30=120mins
Dummy stitch-2.30 to 4.30=120mins
Flap matching-1.15 to 3.30=165mins
Body welting-2.25 to 3.50=75mins
Bone cut-2.25 to 3.50=75mins
Pkt lining-11.00 to 2.00=180mins",G - No feeding from material 
Line-2B,,,,,,"Yes
Maintenance","In lining section 
Lining welting machine problem
9.30-12.30=180mins
welting Floder cut thus why problem issuse",J - Machine breakdown
Line-2B,2025-02-17,Loss time,0,660,,"Yes
Cutting","In Body section loading issuse
Dart cutting-12.40 to 1.30=70mins
Breast pkt ready-11.00 to 2.00=180mins
Flap seam-1.10 to 2.10=60mins
In lining section loading issuses
Goldseal(VDBZG0316) W.no(78946)
loading it 15.02.2025 but received Front facing pipping -9.10 to 11.00=110mins
Triangle flap-9.10 to 10.45=95mins",G - No feeding from material 
Line-2B,2025-02-18,Loss time,0,2940,,"Yes
Cutting","In Body section loading issuse
1.Dart cutting-12.30 to 3.30=180 mins
2.Center back seam-1.50 to 3.45=115mins
3.Dart seam-1.40 to 3.45=105 mins
4.Dart iron-2.30 to 3.50=80mins
5.Side panel-2.50 to 4.00=70mins
6.Armhole tape-3.00 to 4.10=70mins
7.Side panel iron-3.30 to 4.30=60mins
8.Breast pkt ready-12.00 to 3.30=210mins
9.Breast pkt attach-3.30 to 4.45=75mins
10.Flap seam-1.40 to 4.00=100mins
11.Fap pressing-3.30 to 4.30=60mins
12.Flap dummy stitch-2.30 to 3.30=60mins
In lining section loading issuse
13.Welting-3.30 to 5.30=120mins
14.Bone cut-5.00 to 5.30=30mins",G - No feeding from material 
Line-2B,2025-02-19,Loss time,0,360,,"Yes
Cutting","In Body section loading issuse
Dart cutting-9.40 to 10.10=30 mins
Flap seam-10.10 to 10.35=25mins",G - No feeding from material 
Line-2B,,,,,,"Yes
Store","In Lining and sleeve section trims issuse
Goldseal(LYBZG0091) W.no(82882) 898Qty
10.00 loading received batch trims received 12.30=150mins

",G - No feeding from material 
Line-2B,2025-02-20,Loss time,0,120,,"Yes
Maintenance","
In sleeve section
indexor machine problem for loose thread and button hole Measurement issuses then parts will be change
11.30 to 1.30=120 mins
 alternate machine arranged  . we can't able to do production level 150 pcs Because Line L2A & L2B combination . Repeated Indexor machine problem.",J - Machine breakdown
Line-2B,2025-02-21,Loss time,0,280,,"Yes
Cuuting","In body section loading issuse
Breast pkt ready-9.10 to 11.00=110mins
Flap seam-10.30 to 11.00=30mins
Front panel parts fusing open for 70 pcs Goldseal( LYBZG009) W.NO (82881)",G - No feeding from material 
