Line ,Date of Gap,Check,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Act,Unnamed: 8
,, (Target Vs Actual),,,Control point,,,
,,MP/CP,Target,Actual,Self Control,Other Dept Control,Reason for Gap,"Reason Category
(Key word from Reason for Gap)"
Line-1B,2025-03-04,Loss time,0,60,No,Maintenance,"3-3.30( no lining loading),4-4.30(machine problem)Total-60 min loss","J - Machine breakdown
G - No feeding from material "
Line-1B,2025-03-06,Loss time,0,1920,Yes,Maintenance,"2 hrs machine setting so from lining matching to front edge iron was idle,40 pcs collar felt wrong cut & trims are not there","J - Machine breakdown
G - No feeding from material "
Line-1B,2025-03-20,Loss time,0,240,Yes,Maintenance,"3.30 to 5.30 Welting machine problem,3.30 to 4.30 1 operation=60
4.30 to 5.30 2 operations=120",J - Machine breakdown
Line-1B,2025-03-22,Loss time,0,510,Yes,Cutting,"From 12.00 to 4.00 no loading=240
From 1.30 to 4.00 Dart seam,Dart iron & Side panel was idle=270",G - No feeding from material
Line-2A,2025-03-03,Loss time,0,725,,Maintenance,"
In sleeve section
indexor machine problem for loose thread and button hole Measurement issuses then parts will be change
4.30 to 5.30=60mins
 alternate machine arranged  . we can't able to do production level 120 pcs Because Line L2A & L2B combination . Repeated Indexor machine problem.
1. sleeve no loading from cutting ( 12.45-3.30) -165mins
Total = 225 mins lose

In Body section
1. dart cutting & marking - 1:30-3:30=120mins
2. Dart seam - 3.30-4.30 =60mins
Total =180 mins lose

In Lining section 
1. Lining Welting  machine problem -9:00-2:30 =300 mins ( needle down, cross cut )
2. lining welting -3.30-4.30 -60 mins ( 4 time Needle cut)

Total = 360 mins lose

","J - Machine breakdown
G - No feeding from material "
Line-2A,2025-03-05,Loss time,0,390,,"Yes
Maintenance & Cutting","

In Body section
1. Stitch on armhole machine problem ( needle cut & edge not occur)- 1:30-3:30=120mins
2. Welting machine problem needle cut - 9.30-10.30 =60mins
Total =180 mins lose

In Lining section 
1. Lining facing attach -3:00-5:30 =90mins 
2. lining Wash care  label -3.30-4.30 -60 mins
3. Lining welting 4.30-5.30 -60 mins ( 4 time Needle cut)

Total = 210 mins lose

","J - Machine breakdown
G - No feeding from material "
Line-2A,2025-03-06,Loss time,0,585,,Maintenance & Cutting,"
In sleeve section

1. sleeve no loading from cutting ( 12.45-2.00) -45mins
Total = 45 mins lose

In Body section
1. dart cutting & marking - 11:30-2:30=180mins
2. Dart seam - 1.30-3.30 =120mins
3. centerback - 2.00-2.30=30mins
4. Body Welting machine problem ( thread cut ) -12.00-3.30=180

Total =390 mins lose



In Lining section 
1. Lining Welting  machine problem -9:00-10:00 =60 mins ( needle down, cross cut )
2. lining facing attach = 12: 15 - 2:15=90 mins

Total = 150 mins lose

","J - Machine breakdown
G - No feeding from material "
Line-2A,2025-03-07,Loss time,0,633,,"
Maintenance & Cutting","In slv section yesterday ATSUG0042-518 QTY has been loaded but today upto-10:48 to 1:30 button is not given-168 mins
In body section, Body welting machine problem(frequently thread cut) body commitment 610,we achieved 290,so 320 pieces drop-465 min
Total loss time-633 mins","J - Machine breakdown
G - No feeding from material "
Line-2A,2025-03-11,Loss time,0,390,,"
Maintenance ","
In Lining section, Body welting machine problem(frequently needle down and extra cut ) - 9.30-4.30
Total mins loss- 390 mins","J - Machine breakdown
"
Line-2A,2025-03-12,Loss time,0,390,,"
Maintenance ","
In Lining section, Body welting machine problem(frequently needle down and extra cut ) - 9.30-4.30
Total mins loss- 390 mins","J - Machine breakdown
"
Line-2A,2025-03-13,Loss time,0,780,,"Yes
Maintenance & Store","In slv section yesterday ATSUG0023-836 QTY has no button upto-10:00 to 2:00 button is not given from stores -210 mins

In body section, Body welting machine problem(frequently thread cut) - 9.30-12.30
Total mins loss- 180 mins

In Lining section, Body welting machine problem(frequently needle down and extra cut ) - 9.30-4.30
Total mins loss- 390 mins","J - Machine breakdown
G - No feeding from material "
Line-2A,2025-03-14,Loss time,0,120,,"Yes
Trims Store","In slv section  ATSUG004SL-601 QTY has no thread matching  upto-9:00 to 11:00 button is not given from stores -120mins continuous problem store no matching thread and button so 2 hr indexor operation stop

","
G - No feeding from material "
Line-2A,2025-03-16,Loss time,0,300,,"Yes
Maintenance ","
In sleeve section
Overlock machine problem for thread cut and fabric is not moving in the machine Knife is not sharp issuses then parts will be knife is sharping
1.30 to 5.30=300mins
  . we can't able to do production level 150 pcs Because Line L2A & L2B combination .  


","J - Machine breakdown
"
Line-2A,2025-03-17,Loss time,0,3690,,"Yes
 Cutting & Store","
In sleeve section

1. sleeve no loading from cutting ( 11.00-12.00) -60mins
2.Trims problem no matching thread for indexor operation(9.00-10.00), (2.00-6.00)-360 mins
Total = 360 mins lose

In Body section
1. dart cutting & marking - 10:30-11:30=60mins &2.30 -4.30  -120 mins 
Total -180mins
2. Dart seam - 11.00-12.00 =60mins,3.30-5.30- 120 mins
Total = 180 mins
3. centerback - 3.30-4.30=60 mins
Total =2250  mins lose



In Lining section 

1. lining facing attach,center back side panel wash care label attach and welting no loading = 2: 30 - 5:30=180mins
Total = 1080 mins lose

Total = 3690
","
G - No feeding from material "
Line-2A,2025-03-18,Loss time,0,2340,,"Yes
 Cutting","
In sleeve section

1. sleeve no loading from cutting ( 3.30-5.30) -120mins

In Body section
1. dart cutting & marking - 10:30-11:30=60mins &3.30 -5.30  -120 mins 
Total -180mins
2. Dart seam - 11.00-12.00 =60mins,3.30-5.30- 120 mins
Total = 180 mins
3. centerback - 3.30-4.30=60 mins
Total =1260  mins lose

In Lining section 

1. lining facing attach,center back side panel wash care label attach and welting no loading = 3: 00 - 5:30=180mins
2. For silver creast WO no trims is given 
Total = 1080 mins lose

Total = 2340
","
G - No feeding from material "
Line-2A,2025-03-25,Loss time,0,495,,"Yes
 Cutting","
In sleeve section

1. sleeve no loading from cutting ( 9.00-11.00, 1.30-2.30,3.30 - 4.30) -240mins

In Body section
1. dart cutting & marking - 3:15-6:30=195mins 
Total -195mins
2. Dart seam - 5.30-6.30 =60 mins
Total =255 mins lose
","
G - No feeding from material "
Line-2A,2025-03-26,Loss time,0,1185,,"Yes
 Cutting","
In sleeve section

1. sleeve no loading from cutting ( 9.00-2.30) -300mins

In Body section
1. dart cutting & marking - 9:00-1:00=240mins 
2. Dart seam - 9.00-1.45 =255 mins
3.Dart Iron - 9.00-2.00 -270
Total =255 mins lose

In Lining Section 
Silver creast loading has be done in 25-03-2025 WO (86591,86592) - 129,314 Quantity loaded in 11.15AM but Lining pocket lining not given for 26-03-2025 upto 2.55PM, No feeding material
12.30- 2.30 - 360Mins","
G - No feeding from material "
Line-2A,2025-03-27,Loss time,0,2910,,"Yes
Maintenance & Store","
In sleeve section

1. sleeve no button given from store, so button ,sleeve inseam, inseam iron, sleeve cuff closing and sleeve tacking operator no feeding ( 1.05-3.30) -750mins

In Body section
1. Body welting machine problem(fusing not cutted) - 11.00-5.30 -300mins 8mp = 2400 mins
2. Dart Saddle stitch weaving effect -3.15-5.30 -150mins

In Lining Section 
In Lining Section 
Silver creast loading has be done in 25-03-2025 WO (86591,86592) - 129,314 Quantity loaded in 11.15AM but Lining pocket lining not given for 26-03-2025 upto 2.55PM, No feeding material
12.30- 2.30 - 360Mins","J - Machine breakdown
G - No feeding from material "
