Model Name,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Headcount,Target,Hourly Target,Working Time,Takt,Product Efficiency,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Sleeve,Lining,Collar,Body,Body Assy,Slv Assy,Unnamed: 26
LPBZG041,"Notch, slv with 4 btn, straight lining with 3 welt pkt, piping with saddle, body with 2 welt pkts , breast pkt, side vent",,,,,157,1000,129.03225806451613,465,0.465,0.885281830011643,,,,,,,,Iron,2.0,5.0,1.0,10.0,7.0,2.0,27.0
,,,,,Model min.,Total SMV,Required MP,Operation Group No,MP,Opr. WL,Line Balance,,,,,,,,Press,4.0,,1.0,6.0,6.0,1.0,18.0
,,,,,64.63,64.63,138.98924731182797,,156,138.41935483870967,0.8909567135373587,,,,,,,,,,,,,,,
Machine,Operation Name,Variation Name,SMV,Ratio,Hourly Target,SMV*Ratio,Required MP,Operation Group No,# of Operator,Operator Work Load,Balance Difference,Opr No,Ad,Perf.,Kalite,Makine,OEE,,,,,,,,,
,SLEEVE,,9.249999999999998,,,8.02,17.247311827956988,,20,16.677419354838708,0.8338709677419354,,,,,,,,,,,,,,,
Indexor,Sleeve Vent Button Hole Indexor (3)    ,,0.38,1,157.89473684210526,0.38,0.8172043010752689,1,1,0.8172043010752689,0.18279569892473113,1,,1,1,1,1,,,,,,,,,
SNLS TF,Hind Arm Seam With Vent For Fabric Sleeve ,,0.77,1,155.84415584415584,0.77,1.6559139784946237,2,2,1.6559139784946237,0.34408602150537626,2,,1,1,1,1,,,,,,,,,
Ovelock,5 Thread overlock ,,0.44,1,136.36363636363637,0.44,0.946236559139785,3,1,0.946236559139785,0.053763440860215006,3,,1,1,1,1,,,,,,,,,
Ovelock,3 Thread overlock ,,0.38,1,157.89473684210526,0.38,0.8172043010752689,4,1,0.8172043010752689,0.18279569892473113,4,,1,1,1,1,,,,,,,,,
SNLS DF,Sleeves Vent Seam + Basting Tack ,,1.18,1,152.54237288135593,1.18,2.5376344086021505,5,3,2.5376344086021505,0.4623655913978495,5,,1,1,1,1,,,,,,,,,
Iron table,Pressing Of Top Sleeve Vent  With Fusing,Iron,0.45,1,133.33333333333334,0.45,0.967741935483871,6,1,0.967741935483871,0.032258064516129004,6,,1,1,1,1,1,,,,,,,,
SNLS DF,Lining Attach With Vent ,,0.81,1,148.14814814814815,0.81,1.7419354838709677,7,2,1.7419354838709677,0.25806451612903225,7,,1,1,1,1,,,,,,,,,
Buck press,Elbow Ironing,Press,0.44,1,136.36363636363637,0.44,0.946236559139785,8,1,0.946236559139785,0.053763440860215006,8,,1,1,1,1,2,,,,,,,,
Button ,Button To Vent Sleeve Attachment(4 Btns)  ,,0.75,1,160,0.75,1.6129032258064515,9,2,1.6129032258064515,0.3870967741935485,9,,1,1,1,1,,,,,,,,,
SNLS TF,Sleeve Inseam ,,0.81,1,148.14814814814815,0.81,1.7419354838709677,10,2,1.7419354838709677,0.25806451612903225,10,,1,1,1,1,,,,,,,,,
Buck press,Inseam Ironing,Press,0.38,1,157.89473684210526,0.38,0.8172043010752689,11,1,0.8172043010752689,0.18279569892473113,11,,1,1,1,1,2,,,,,,,,
SNLS TF,Sleeve Lining In Seam & Cuff Closing,,0.7,0.5,85.71428571428572,0.35,0.7526881720430108,12,1,0.7526881720430108,0.24731182795698925,12,,1,1,1,1,,,,,,,,,
SNLS DF,Lining Sleeves To Elbow Forearm Fastening  ,,0.53,0.5,113.20754716981132,0.265,0.5698924731182796,13,1,0.5698924731182796,0.4301075268817204,13,,1,1,1,1,,,,,,,,,
SNLS DF,Sleeve Lining In Seam & Cuff Closing,,0.7,0.5,85.71428571428572,0.35,0.7526881720430108,14,1,0.7526881720430108,0.24731182795698925,14,,1,1,1,1,,,,,,,,,
SNLS DF,Lining Sleeves To Elbow Forearm Fastening  ,,0.53,0.5,0,0.265,0.5698924731182796,,,,,,,1,1,1,1,,,,,,,,,
,LINING,,16.490000000000002,,,12.489999999999998,26.86021505376344,,29,26.860215053763444,0.9262143121987394,,,,,,,,,,,,,,,
SNLS TF,Side + Center Back Lining,,0.78,1,153.84615384615384,0.78,1.6774193548387097,15,2,1.6774193548387097,0.32258064516129026,15,,1,1,1,1,,,,,,,,,
SNLS TF,Facing To Lining Front Seam + Piping (Folder)-Travel,,1.31,1,137.40458015267177,1.31,2.817204301075269,16,3,2.817204301075269,0.18279569892473102,16,,1,1,1,1,,,,,,,,,
Iron table,Facing Ironing ,Iron,0.63,0.7,95.23809523809524,0.44099999999999995,0.9483870967741934,17,1,0.9483870967741934,0.05161290322580658,17,,1,1,1,1,,,,,,,,,
Iron table,Facing Ironing ,,0.63,0.3,95.23809523809524,0.189,0.4064516129032258,20,,,,20,,1,1,1,1,,,,,,,,,
Iron table,Loop Ironing & Triangle flap ironing,Iron,0.42,0.6,142.85714285714286,0.252,0.5419354838709678,20,1,0.9483870967741936,0.05161290322580636,20,,1,1,1,1,,,,,,,,,
Iron table,Loop Ironing & Triangle flap ironing,,0.42,0.4,142.85714285714286,0.168,0.36129032258064514,21,1,0.8989247311827957,0.1010752688172043,21,,1,1,1,1,,,,,,,,,
,Swaet shield & gazat ironing,Iron,0.25,1,240,0.25,0.5376344086021505,21,,,,21,,,,,,,,,,,,,,
Saddle,Saddle Stitch ,,1.31,1,137.40458015267177,1.31,2.817204301075269,18,3,2.817204301075269,0.18279569892473102,18,,1,1,1,1,,,,,,,,,
