Supplier Name,"Fabric Type 
(YD / Solid / Print)",Brand,Sub Brand,"Month
(MMM-YY)",Fabric Code,Fabric Content,"Inward Date 
(DD-MMM-YYYY)",MIGO Date,PO No.,"Actual Received 
Quantity","Quantity Passed 
Without EC","Quantity Passed 
With EC","Quantity 
Rejected","Reason for Rejected Qty
(If any Qty rejected then Pls  mention the exact reason here)",Approved EC %,FRA Qty,"Inspection Date 
(DD-MMM-YY)","Inspection 
Report No.","PO Full Width
(cms)","Actual Full Width Avg
(cms)",Diffrence,"Cuttable Width
(cms)","Lowest 
Index","Average 
Index  ","Highest 
Index","Area of FRA
(Lab / VI / CSV / SG / WD)",FRA No.,"FRA Raised Date
(DD-MMM-YY)","FRA Sent Date
(DD-MMM-YY)","FRA Closed Date
(DD-MMM-YY)","Total Days 
(Taken for Closure)","Status 
(Clear / EC / RTS / Pending)","CSV 
(OK/NOT OK)",FRA Reason,Final Agreed Decision
Krishna Alkali (Bombay) Pvt Ltd,Print,SC,SC,2025-04-02 00:00:00,F325SCSH7858,100% Cotton,2025-03-27,2025-03-27,3310052573,339.8,,,339.8,Soak test,,339.8,2025-03-28,8443.0,142.0,150.0,8.0,147.0,7.0,9.0,12.0,Lab,200007835,2025-04-02,2025-04-02,2025-04-03,1,RTS,OK,Lab soak test 3.5*,RTS
Geervani Impex,Solids,VHWW,VW,2025-04-02 00:00:00,F524VWDR4310,100% Cotton,2025-03-28,2025-03-28,3310056914,302.0,,302.0,,Contamination,3.0,302.0,2025-04-02,8454.0,142.0,148.0,6.0,145.0,31.0,32.0,33.0,VI,200007834,2025-04-02,2025-04-02,2025-04-02,0,EC,Not OK,Contamination,Accepted with 3% EC for recut
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F323VWTS5293,100% Cotton,2025-03-27,2025-03-27,3310039719,514.0,,514.0,,"Stain,yarn pull",5.0,514.0,2025-04-02,8022.0,110.0,111.0,1.0,107.0,9.0,40.0,59.0,VI,200007833,2025-04-02,2025-04-02,2025-04-02,0,EC,OK,"Stain,yarn pull",Accepted with 5% EC for recut
Auro Textiles,Solids,HOAS,AS,2025-04-02 00:00:00,F322ASSH1802,100% Cotton,2025-03-28,2025-03-28,3310053659,1237.0,,1237.0,,Less width,3.0,1237.0,2025-03-29,8258.0,145.0,140.0,-5.0,137.0,7.0,7.0,7.0,VI,200007704,2025-04-04,2025-04-04,2025-04-05,1,EC,OK,Less width 140cm ( sap width 145cm ),Accepted with 3% EC for less width
Krishna Alkali (Bombay) Pvt Ltd,Print,SC,SC,2025-04-02 00:00:00,F325SCSH7864,100% Cotton,2025-04-02,2025-04-02,3310052583,340.5,340.5,,,,,340.5,2025-04-03,9134.0,142.0,150.0,8.0,147.0,9.0,11.0,14.0,VI,200007705,2025-04-04,2025-04-04,2025-04-05,1,Clear,OK,White dots,White dots approved by brand
Penfabric Sdn. Berhad,Solids,HOLP,LP,2025-04-02 00:00:00,F325LPSH1914,100% Cotton,2025-03-29,2025-03-29,3310051120,2947.0,2947.0,,,,,2947.0,2025-04-03,8029.0,137.0,157.0,20.0,153.0,4.0,6.0,7.0,VI,200007706,2025-04-04,2025-04-04,2025-04-15,8,Clear,Not OK,Streaky,Streaky approved in garments
Ankush Knitting Works Pvt Ltd,Yarn Dyed,PE,PE,2025-04-02 00:00:00,F323PEKP7435,100% Cotton,2025-04-02,2025-04-02,3310052959,227.53,203.13,24.4,,Streaky,5.0,227.53,2025-04-03,8901.0,152.0,174.0,22.0,169.0,7.0,9.0,12.0,VI,200007707,2025-04-04,2025-04-04,2025-04-05,1,EC,OK,Streaky,One roll - 24.4 kg accepted with 5% EC balance w/o EC
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LPSH5078,100% Cotton,2025-04-02,2025-04-02,3310048470,2502.0,2502.0,,,,,2502.0,2025-04-04,9135.0,137.0,145.0,8.0,142.0,5.0,8.0,10.0,Lab,200007848,2025-04-05,2025-04-05,2025-04-11,5,Clear,OK,"Lab skewness 5.6*,seam slippage 11.1*",Lab Approved Accepted w/o EC
Premier Spg & Wvg Mills Pvt Ltd,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F325ALSH1279,100% Cotton,2025-04-02,2025-04-02,3310057656,1295.0,1295.0,,,,,1295.0,2025-04-04,8461.0,140.0,147.0,7.0,143.0,8.0,11.0,16.0,SG,200007866,2025-04-07,2025-04-07,2025-04-07,0,Clear,OK,Off shade,Shades Approved by brand
Premier Fabrics Sourcing LLP,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F525ABSH5766,100% Cotton,2025-04-03,2025-04-03,3310058700,307.0,,307.0,,Snarls,3.0,307.0,2025-04-05,8468.0,140.0,144.0,4.0,141.0,29.0,30.0,31.0,VI,200007865,2025-04-07,2025-04-07,2025-04-08,1,EC,OK,Snarls,Accepted with 3% EC for recut
Premier Fabrics Sourcing LLP,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F525ABSH5761,100% Cotton,2025-04-03,2025-04-03,3310058683,302.0,,302.0,,slubs,3.0,302.0,2025-04-05,8046.0,140.0,144.5,4.5,141.0,21.0,29.0,36.0,VI,200007880,2025-04-07,2025-04-07,2025-04-08,1,EC,OK,Slubs,Accepted with 3% EC for recut
Arvind Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F321LYSH3060,100% Cotton,2025-04-02,2025-04-02,3310048498,3791.0,3663.0,128.0,,Stain,5.0,3791.0,2025-04-05,9058.0,137.0,143.0,6.0,139.0,8.0,20.0,30.0,VI,200007864,2025-04-07,2025-04-07,2025-04-08,1,EC,OK,Stain,One roll 128 mtrs accepted with 5% EC balance ok
Arvind Ltd,Print,HOLP,LP,2025-04-02 00:00:00,F325LPSH2951,100% Cotton,2025-04-02,2025-04-02,3310041964,762.0,,762.0,,Holes,4.0,762.0,2025-04-04,7965.0,137.0,148.0,11.0,144.0,4.0,35.0,73.0,VI,200007863,2025-04-07,2025-04-07,2025-04-08,1,EC,OK,Holes,Accepted with 4% EC for recut
Arvind Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F325LPSH4895,100% Cotton,2025-04-02,2025-04-02,3310048976,442.0,,442.0,,Contamination,4.0,442.0,2025-04-05,8041.0,137.0,151.0,14.0,144.0,36.0,37.0,38.0,VI,200007862,2025-04-07,2025-04-07,2025-04-08,1,EC,OK,Contamination,Accepted with 4% EC for recut
Arvind Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F325LRSH1342,100% Cotton,2025-04-02,2025-04-02,3310048949,1650.0,1650.0,,,,,1650.0,2025-04-04,8464.0,137.0,149.0,12.0,146.0,11.0,14.0,19.0,SG,200007861,2025-04-07,2025-04-07,2025-04-07,0,Clear,OK,Off shade,Shades Approved by brand
Auro Textiles,Solids,HOLP,LP,2025-04-02 00:00:00,F320LRSH5777,100% Cotton,2025-04-02,2025-04-02,3310059907,1035.0,,1035.0,,Contamination,3.0,1035.0,2025-04-04,7966.0,137.0,146.0,9.0,143.0,25.0,28.0,31.0,VI,200007860,2025-04-07,2025-04-07,2025-04-10,3,EC,OK,Contamination,Accepted with 3% EC for recut
Orbit Exports Ltd,Solids,HOAS,AH,2025-04-02 00:00:00,F325AHTS6862,100% Polyester,2025-04-02,2025-04-02,3310058725,1039.0,,1039.0,,,8.0,1039.0,2025-04-05,8044.0,145.0,145.0,0.0,140.0,37.0,45.0,53.0,VI,200007881,2025-04-07,2025-04-07,2025-04-16,7,EC,OK,"Streaky,yarn pull","Streaky Approved in garment Accepted with 8% EC for recut,csv (Raghvendra sir)"
Orbit Exports Ltd,Solids,HOAS,AH,2025-04-02 00:00:00,F325AHTS6860,100% Polyester,2025-04-02,2025-04-02,3310058723,1036.0,,1036.0,,,5.0,1036.0,2025-04-05,9144.0,145.0,145.0,0.0,141.0,19.0,24.0,29.0,VI,200007728,2025-04-07,2025-04-07,2025-04-16,7,EC,OK,"Streaky,stop mark,csv","Streaky Approved in garment Accepted with 5% EC for recut,csv( Raghavendra sir)"
Orbit Exports Ltd,Solids,HOAS,AH,2025-04-02 00:00:00,F325AHTS6861,100% Polyester,2025-04-02,2025-04-02,3310059907,996.5,,996.5,,,8.0,996.5,2025-04-05,7976.0,145.0,144.0,-1.0,141.0,33.0,44.0,59.0,VI,200007867,2025-04-07,2025-04-07,2025-04-16,7,EC,OK,"Yarn pull,crease mark,csv","Streaky Approved in garment Accepted with 8% EC for recut,csv( Raghavendra sir)"
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-02 00:00:00,F525ABSH5776,100% Cotton,2025-04-03,2025-04-03,3310058674,300.0,,300.0,,Contamination,5.0,300.0,2025-04-07,8052.0,140.0,146.0,6.0,141.0,43.0,45.0,46.0,VI,200007913,2025-04-08,2025-04-08,2025-04-09,1,EC,OK,Contamination,Accepted with 5% EC for recut
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-02 00:00:00,F525ABSH5788,100% Cotton,2025-04-03,2025-04-03,3310058681,306.0,,306.0,,Contamination,2.0,306.0,2025-04-07,8056.0,140.0,146.0,6.0,140.0,17.0,28.0,43.0,VI,200007912,2025-04-08,2025-04-08,2025-04-09,1,EC,OK,Contamination,Accepted with 2% EC for recut
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-02 00:00:00,F525ABSH5774,100% Cotton,2025-04-03,2025-04-03,3310058673,327.0,,327.0,,Contamination,5.0,327.0,2025-04-07,8057.0,140.0,146.0,6.0,141.0,43.0,48.0,57.0,VI,200007911,2025-04-08,2025-04-08,2025-04-08,0,EC,OK,Contamination,Accepted with 5% EC for recut
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-02 00:00:00,F525ABSH5773,100% Cotton,2025-04-03,2025-04-03,3310058704,303.0,,303.0,,Contamination,3.0,303.0,2025-04-07,8053.0,140.0,147.0,7.0,142.0,24.0,31.0,37.0,VI,200007910,2025-04-08,2025-04-08,2025-04-08,0,EC,OK,Contamination,Accepted with 3% EC for recut
Premier Fabrics Sourcing LLP,Solids,HOAS,AS,2025-04-02 00:00:00,F525ABSH5801,100% Cotton,2025-04-03,2025-04-03,3310058689,310.0,,310.0,,Contamination,3.0,310.0,2025-04-07,8479.0,140.0,149.0,9.0,146.0,30.0,36.0,42.0,VI,200007869,2025-04-08,2025-04-08,2025-04-08,0,EC,OK,Contamination,Accepted with 3% EC for recut
Wujiang Deyi Fashions Cloths Co.Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F320VWSH5156,100% Cotton,2025-04-05,2025-04-05,3310051012,874.2,773.2,,101.0,Running shade,,874.2,2025-04-09,9098.0,144.0,150.0,6.0,146.0,7.0,8.0,10.0,VI,200007935,2025-04-10,2025-04-10,2025-04-18,7,Clear,OK,"Off shade,running shade",One roll -101 Mtrs RTS balance ok
Louvre Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F325LYSH6856,100% Cotton,2025-04-05,2025-04-05,3310048831,2796.2,,,2796.2,Streaky,,2796.2,2025-04-09,9161.0,137.0,152.0,15.0,148.0,9.0,14.0,17.0,VI,200007934,2025-04-10,2025-04-10,2025-04-16,5,RTS,OK,"Neps,streaky",RTS
Jiangu Pinytex Textile Dying,Solids,HOLP,LP,2025-04-02 00:00:00,F525LASH1231,100% Cotton,2025-04-07,2025-04-07,3310048823,1060.2,1060.2,,,,,1060.2,2025-04-09,9096.0,137.0,147.0,10.0,144.0,5.0,7.0,8.0,VI,200007930,2025-04-10,2025-04-10,2025-04-16,5,Clear,OK,Streaky,Approved accepted by Jothi sir
Lu Thai Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F325LPKP6198,100% Cotton,2025-04-05,2025-04-05,3310054070,1000.0,,1000.0,,GSM,1.0,1000.0,2025-04-09,7996.0,157.0,167.0,10.0,163.0,6.0,6.0,7.0,VI,200007931,2025-04-10,2025-04-10,2025-04-15,4,EC,OK,Lower GSM,GSM Approved with 1% EC
