Fabric code,Inward Date,Priority,Priority.1,MIGO NO,MIGO Date,Security inward no,Security inward date,LR no.,LR Date,Transporter Name,Inv numb,Invoice Date,Invoice-No. of Rolls,Invoice Qty,Supplier Name ,Fabric Composition,GC / Non GC,PO Number,DA NO,Product,Brand,Sub Brand,UOM,Knit/Woven,FDR-Qty,FDR-NO,Wip Status,Inspection Date,Name of inspector,Inspection Report no.,Inspected roll,Fabric Quantity (Inspected),Inspection Result,PO Width,Avg WIDTH,% Between ActWidth vs PO Width,No of Shade Group,CSV Observation,Lab Test Status,GRN Qty,GRN No.,GRN Date,GRN lead time,Total Fabric Quantity Under FRA,FRA No.,Fra Raised Date,FRA Closure Date,FRA Closure Lead Time,Reason for Delay in GRN,Fabric Quantity (FRA With EC),% EC Approved,Approved By (FRA With EC),Fabric Quantity - RTS,Farbic RTS Date ,RTS Doc no.,RTS LR no.,Sourcing Person ,Date of Invoice Submission to Parking Team ,Type of fabric,REMARKS,GIR,PO ISSUES
FYSDSH1794E,2025-04-02,,,5005712740.0,2025-04-02,43 / 02.04.2025,2025-04-02,SL 7278,2025-03-29 00:00:00,MRL LOGISTICS,24-25-106,2025-03-29 00:00:00,54.0,1697.4,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Bijay,7964.0,5.0,581.0,Reject,,146.5,,,,Pass,1697.4,,2025-04-04,2,1697.4,200007773,2025-04-04,2025-04-04,,FRA within TPT ,1697.4,2.0,,,,,,,,Yarndyed,,0.0,
FYSDSH1787E,2025-04-02,,,5005712574.0,2025-04-02,44 / 02.04.2025,2025-04-02,SL 7278,2025-03-29 00:00:00,MRL LOGISTICS,24-25-106,2025-03-29 00:00:00,,2377.9,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Ujjwal,8031.0,5.0,594.0,Reject,,146.5,,,,Pass,2377.9,,2025-04-04,2,2377.9,200007774,2025-04-04,2025-04-04,,FRA within TPT ,2377.9,3.0,,,,,,,,Yarndyed,,0.0,
FYSDSH1740E,2025-04-02,,,5005712740.0,2025-04-02,43 / 02.04.2025,2025-04-02,SL 7278,2025-03-29 00:00:00,MRL LOGISTICS,24-25-106,2025-03-29 00:00:00,,387.1,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-03 00:00:00,Sibasankar,9130.0,2.0,174.0,Pass,,147.0,,,,Pass,387.1,,2025-04-03,1,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
FYSDSH1744E,2025-04-02,,,5005712574.0,2025-04-02,44 / 02.04.2025,2025-04-02,SL 7278,2025-03-29 00:00:00,MRL LOGISTICS,24-25-106,2025-03-29 00:00:00,,350.9,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-03 00:00:00,Kamala,9043.0,2.0,180.0,Pass,,145.5,,,,Pass,350.9,,2025-04-03,1,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
FYMPSH3318E,2025-04-02,,,5005709949.0,2025-04-02,46 / 02.04.2025,2025-04-02,SL 14,2025-04-01 00:00:00,MRL LOGISTICS,338,2025-03-31 00:00:00,2.0,51.0,GM EXPORTS,,NON GC,3320005234,ABFRL,SHIRT FABRIC,EXPORT,MARCO POLO,M,Woven,,,GRN Done,2025-04-02 00:00:00,Ujjwal,808.0,1.0,51.0,Pass,,141.0,,,,Pass,51.0,,2025-04-02,0,,,,,,Within TPT,,,,,,,,,2025-04-03 00:00:00,,,0.0,
FYMPSH3319E,2025-04-02,,,5005709949.0,2025-04-02,46 / 02.04.2025,2025-04-02,SL 14,2025-04-01 00:00:00,MRL LOGISTICS,338,2025-03-31 00:00:00,,54.2,GM EXPORTS,,NON GC,3320005234,ABFRL,SHIRT FABRIC,EXPORT,MARCO POLO,M,Woven,,,GRN Done,2025-04-02 00:00:00,Ujjwal,8024.0,1.0,54.2,Pass,,142.0,,,,Pass,54.2,,2025-04-02,0,,,,,,Within TPT,,,,,,,,,2025-04-03 00:00:00,,,0.0,
FYSDSH1379E,2025-04-02,,,5005712355.0,2025-04-02,47 / 02.04.2025,2025-04-02,SL 13,2025-04-01 00:00:00,MRL LOGISTICS,337,2025-03-31 00:00:00,66.0,1006.3,GM EXPORTS,,NON GC,3320005312,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Ujjwal,8034.0,5.0,277.0,Reject,,145.0,,,,Pass,1006.3,,2025-04-04,2,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
FYSDSH1704E,2025-04-02,,,5005712355.0,2025-04-02,47 / 02.04.2025,2025-04-02,SL 13,2025-04-01 00:00:00,MRL LOGISTICS,337,2025-03-31 00:00:00,,3359.9,GM EXPORTS,,NON GC,3320005312,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Kamala,9050.0,8.0,581.0,Pass,,145.0,,,,Pass,3359.9,,2025-04-04,2,,,,,,Within TPT,,,,,,,,,2025-04-05 00:00:00,Yarndyed,,0.0,
FYSDSH1783E,2025-04-02,,,5005712424.0,2025-04-02,45 / 02.04.2025,2025-04-02,SL 12,2025-04-01 00:00:00,MRL LOGISTICS,336,2025-03-31 00:00:00,54.0,279.0,GM EXPORTS,,NON GC,3320005314,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Kamala,9057.0,2.0,108.5,Pass,,145.0,,,,Pass,279.0,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
FYSDSH1784E,2025-04-02,,,5005712424.0,2025-04-02,45 / 02.04.2025,2025-04-02,SL 12,2025-04-01 00:00:00,MRL LOGISTICS,336,2025-03-31 00:00:00,,2746.1,GM EXPORTS,,NON GC,3320005314,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Prabhakar,8904.0,8.0,613.3,Pass,,145.0,,,,Pass,2746.1,,2025-04-04,2,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
