Actual Plan Date,WO,Goldseal,Style,Fabric code,Req as per BOM,Fab stock,Wo Qty,Brand,Wo Crtd date,BOM CONS,Status,Cad issue date,Cad Issue time,Marker Received Date,Marker Received time,Issued qty(pcs),EC fabric issued,Issued qty(mtrs),Actual width,marker length,CAD cons,Fabric Req  mtr as per Cons,Remarks,Issued date,Starting time,Cutting issued time,TPT,Achievement in Hours,Delay Reasons,Work order status,Delay Reasons.1,Delay Reasons.2
2025-04-02,600000087356,YSDSH1525E,"SS25 M4011093A BAY GREEN, M",FYSDSH1813E,472.15,17.0,355,EX,2025-03-13,1.33,Issued,2025-03-23 00:00:00,,2025-03-29,10:45:00,260.5467625899281,,362.16,137,1.36,1.39,493.45,,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000087358,YSDSH1525E,"SS25 M4011093A BAY GREEN, 2XL",FYSDSH1813E,343.14,17.0,258,EX,2025-03-13,1.33,Issued,2025-03-24 00:00:00,,2025-03-29,10:45:00,258.05755395683457,,358.7,137,1.36,1.39,358.61999999999995,,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000086969,YSDSH1547E,"AW25 M4011047A FRONTIER CHECK OLIVE G, S",FYSDSH1704E,1352.07,3505.3,747,EX,2025-03-14,1.81,Issued,2025-03-25 00:00:00,,2025-03-26,09:32:00,746.9886363636364,,1314.7,142,1.73,1.76,1314.72,"Costed advised as 5X5 shrinkage, but actual 4X2 /4X1shrinkage / Costed advised as 1.78 Mtr/g, but bom as 1.81 Mtr/g",2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000086969,YSDSH1547E,"AW25 M4011047A FRONTIER CHECK OLIVE G, S",FYSDSH1526E,74.7,1041.73,Trim,EX,2025-03-14,0.1,Issued,2025-03-25 00:00:00,,2025-03-26,09:32:00,746.9886363636364,,70.96392045454546,,,0.095,,,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000087811,PEKPG0069RG,PEKPWRGF826940,F324PEKP5857,221650.0,541.72,806,PE,2025-03-16,275.0,Issued,2025-03-18 00:00:00,,2025-03-19,18:03:00,488.030303030303,,128.84,1.82,0.257,0.264,212.78400000000002,Trade show consumption not advised to manufacturing,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000087628,AHTSG1002RG,AHTSWRGFJ90248,FA1AHTS142,255.6,1008.854,213,AH,2025-03-17,1.2,Issued,2025-03-28 00:00:00,,2025-03-29,10:20:00,213.14237573715246,,253.0,141,1.154,1.187,252.83100000000002,Trade show consumption achieved,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000087911,AHTSG1002RG,AHTSWRGFJ90248,FA1AHTS142,447.6,1008.854,373,AH,2025-03-17,1.2,Issued,2025-03-28 00:00:00,,2025-03-29,10:20:00,373.1404958677686,,451.5,141,1.176,1.21,451.33,Trade show consumption achieved,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000088079,AHSFG0403RG,AHSFCRGFT80330,F1AWS00656,1716.48,1715.686,1341,AH,2025-03-18,1.28,Issued,2025-03-25 00:00:00,,2025-03-26,13:55:00,1446.001765225066,,1638.32,140/143,1.122,1.133,1519.353,Trade show gold seal changed,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000088455,ASSFG0697KT,ASSFMKTPT63635,F325ASSH1563,2192.92,2125.29,1502,AS,2025-03-19,1.46,Issued,2025-03-24 00:00:00,,2025-03-25,13:07:00,1501.989247311828,5.3,558.74,1.33,0.369,0.372,558.744,Trade show consumption not advised to manufacturing,2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
2025-04-02,600000088436,ASSFG0697KT,ASSFMKTPW95615,F325ASSH1535,1859.0,1061.276,1300,AS,2025-03-19,1.43,Issued,2025-03-24 00:00:00,,2025-03-24,17:12:00,1299.9999999999998,10.6,527.8,1.37,0.402,0.406,527.8000000000001,"Trade show consumption not advised to manufacturing, bulk as csv marker",2025-04-02,07:15:00,08:55:00,01:40:00,1 to 2 Hour,With In TPT,Released,,
