Plant,Brand,Product,Material,Description,Stock Qty,Bin NO,Updated Date
F006,AS,RMTBADGES,TBABBAD0076N,As kids Round Badge AS ESTABLISHED,126,S0484,2025-03-13 00:00:00
F006,AS,RMTBADGES,TBABBAD0085N,As Kids Mountain 0696,122,S0643,2025-02-14 00:00:00
F006,AS,RMTBADGES,TBABBAD0086N,AS Kids The Trail is Calling Badges,107,S0643,2025-02-14 00:00:00
F006,AS,RMTLEATHE,TBABBPT0024N,AS KIDS PU PATCH 2.5 and  3.6 cm,4000,S0664,2025-02-17 00:00:00
F006,AS,RMTBUTTON,TBABBTN0018N,AS KIDSBA 6095 NAVY 16L BUTTON,3058,S0549,2025-03-10 00:00:00
F006,AS,RMTBUTTON,TBABBTN0020N,As kids BA 6094 16L Pink button,11808,,
F006,AS,RMTBUTTON,TBABBTN0022N,As Kida BA 6096 16L BUTTON Red,21260,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0023N,As Kida BA 6096 14L BUTTON Red,594,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0024N,As kids Mykon blue 16L,1200,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0025N,As kids Mykon blue 14L,1934,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0036N,AS KIDSBA 6099 Coffi 16L BUTTON,720,S0644,2025-02-15 00:00:00
F006,AS,RMTBUTTON,TBABBTN0038N,AS kids BA 6100 16L White Button,244944,S0677/S0676,2025-02-17 00:00:00
F006,AS,RMTBUTTON,TBABBTN0039N,AS kids BA 6101 14L Black  Button,3738,,
F006,AS,RMTBUTTON,TBABBTN0047N,"AS KIDS Polyster, color- Maroon, 16L",6769,S0545,2025-03-10 00:00:00
F006,AS,RMTBUTTON,TBABBTN0048N,"AS KIDS Polyster.color-Navy, 16L",64594,S0563/S0564,2025-03-11 00:00:00
F006,AS,RMTBUTTON,TBABBTN0049N,"AS KIDS Polyster color-Drak Green, 16L",23185,S1569,2025-02-22 00:00:00
F006,AS,RMTBUTTON,TBABBTN0050N,"AS KIDS Polyster,color-White, 16L",112879,S0658,2025-02-15 00:00:00
F006,AS,RMTBUTTON,TBABBTN0052N,"AS KIDS Polyster.color-Navy, 14L",10080,,
F006,AS,RMTBUTTON,TBABBTN0054N,"AS KIDS Polyster,color-White 14L",425,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0072N,As Kids POL Navy 16L Rubber,163742,S0544/S0547,2025-03-10 00:00:00
F006,AS,RMTBUTTON,TBABBTN0073N,As Kids POL 1321 14L  Rubber White,521,S0559,2025-03-11 00:00:00
F006,AS,RMTBUTTON,TBABBTN0074N,As Kids POL 1321 16L  Rubber White,103114,S0563/S0572/S0579,2025-03-12 00:00:00
F006,AS,RMTBUTTON,TBABBTN0105N,As Kids 16L White Button 8336,303223,S0469,2025-03-17 00:00:00
F006,AS,RMTBUTTON,TBABBTN0109N,As Kids 16L Brown 8325,55728,S0633,2025-02-10 00:00:00
F006,AS,RMTBUTTON,TBABBTN0112N,As Kids 8327 14L Navy,45116,S0474,2025-03-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0113N,As Kids 8327 16L Navy,7488,S0649,2025-02-14 00:00:00
F006,AS,RMTBUTTON,TBABBTN0118N,As Kids 8328 16L,1246,S0520,2025-03-03 00:00:00
F006,AS,RMTBUTTON,TBABBTN0119N,As Kids 8335 16L Brown,1925,,
F006,AS,RMTBUTTON,TBABBTN0121N,As Kids 8326 Brown 14L,7259,,
F006,AS,RMTBUTTON,TBABBTN0136N,As Kids Navy RBR BTN 2998  18L,40739,S0486,2025-03-17 00:00:00
F006,AS,RMTBUTTON,TBABBTN0167N,As Kids 28L black*gold Round Mtl Btn,595,S0461,2025-03-17 00:00:00
F006,AS,RMTBUTTON,TBABBTN0168N,As Kids 24L black*gold Round Mtl Btn,11996,S0454,2025-03-18 00:00:00
F006,AS,RMTBUTTON,TBABBTN0171N,As Kids 28L grey Round Mtl Btn,1160,S0570,2025-03-11 00:00:00
F006,AS,RMTBUTTON,TBABBTN0172N,AS Kids 24L grey Round Mtl Button,3280,S0582,2025-03-12 00:00:00
F006,AS,RMTBUTTON,TBABBTN0199N,As Kids 16 L Button BEIGE NN,35424,S0704,2025-02-19 00:00:00
F006,AS,RMTBUTTON,TBABBTN0204N,As Kids 16L Rod Brown  SR 10160,38458,,
F006,AS,RMTBUTTON,TBABBTN0205N,As Kids 16L SR 1496G HRN Brwon,9866,S1546,2025-03-13 00:00:00
F006,AS,RMTBUTTON,TBABBTN0208N,AS KIDS BTN SZ 16L CLR WHITE ASK5,0,,
F006,AS,RMTBUTTON,TBABBTN0217N,As Kids 14L SR 1496G HRN Brwon,1152,S0579,2025-03-12 00:00:00
F006,AS,RMTBUTTON,TBABBTN0253N,AS KIDS Sz 16L clr matt wht Poly Btn 528,29952,S0481,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBABFTL0001N,As kids Regular  fit label,11098,S0548,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBABFTL0002N,As kids Slim fit label,5500,S0672,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBABFTL0003N,As kids Sport fit label,12011,S0672,2025-02-17 00:00:00
F006,AS,RMTLABEL,TBABLLL0001N,As kids  loop label,3500,S0553,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBABML0054N,AS KIDS  LBL PREMIUM  1744 CLR NAVY,3600,S0541,2025-03-10 00:00:00
F006,AS,RMTLABEL,TBABML0055N,AS KIDS  LBL PREMIUM  1744 CLR WHT,5500,S0541/S1553,2025-03-12 00:00:00
F006,AS,RMTLABEL,TBABMNL0042N,As Kids WHITE Disney-2-3Y,100,S0708,2025-02-19 00:00:00
